City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,kiuruvesi,63.65,26.6167,13.01,64,100,1.17,FI,1722973283
234,ta`u,-14.2336,-169.5144,25.68,74,3,4.69,AS,1722973283
235,selty,57.3132,52.1345,15.51,89,36,0.96,RU,1722973284
236,buka,40.8108,69.1986,23.97,28,0,0.35,UZ,1722973284
237,revda,56.801,59.9303,13.37,99,60,1.54,RU,1722973284
238,taperoa,-7.2075,-36.8267,27.51,39,27,8.11,BR,1722973284
239,mahajanga,-15.7167,46.3167,24.01,88,0,3.09,MG,1722973284
240,gumdag,39.2061,54.5906,33.82,27,42,1.07,TM,1722973284
241,usinsk,65.9939,57.5281,8.72,69,7,5.46,RU,1722973284
242,kidal,18.4411,1.4078,33.87,32,54,3.97,ML,1722973284
243,strathmore,51.0501,-113.3852,15.75,77,100,3.09,CA,1722973284
244,hojai,26.0,92.8667,24.55,97,99,1.95,IN,1722973284
245,port pirie,-33.1833,138.0167,8.7,70,51,2.5,AU,1722973284
246,nova xavantina,-14.6667,-52.35,33.43,19,0,3.05,BR,1722973284
247,dauphin,51.1494,-100.0502,20.08,68,75,2.57,CA,1722973284
248,erdenet,49.0333,104.0833,13.41,89,100,1.27,MN,1722973284
249,la passe,45.5549,-0.8967,22.23,84,100,2.94,FR,1722973284
250,bardai,11.65,7.2333,22.56,88,45,4.79,NG,1722973284
251,mangrol,21.1167,70.1167,27.88,82,99,8.14,IN,1722973284
252,kirakira,-10.4544,161.9205,25.53,86,97,5.09,SB,1722973284
253,las khorey,11.1595,48.1967,32.28,58,22,3.39,SO,1722973285
254,burang,30.25,81.1667,10.77,86,100,2.36,CN,1722973285
255,rubtsovsk,51.5,81.25,16.9,84,86,1.74,RU,1722973285
256,kerikeri,-35.2268,173.9474,7.36,91,36,0.93,NZ,1722973286
257,arrifes,37.7667,-25.7,25.14,73,20,5.66,PT,1722973286
258,berezniki,59.4152,56.8124,13.1,97,86,2.61,RU,1722973286
259,fisterra,42.9049,-9.2629,20.57,81,0,7.95,ES,1722973286
260,luganville,-15.5333,167.1667,23.04,75,100,5.49,VU,1722973287
261,san luis de la loma,17.2706,-100.8939,30.75,66,99,3.87,MX,1722973287
262,neryungri,56.6709,124.6491,8.9,94,64,0.44,RU,1722973287
263,robertsport,6.7533,-11.3686,25.48,82,100,6.02,LR,1722973287
264,brioude,45.1667,3.4167,22.35,69,93,1.2,FR,1722973288
265,neiafu,-18.65,-173.9833,15.38,100,20,0.0,TO,1722973288
266,trinity beach,-16.7888,145.6968,19.94,90,27,2.83,AU,1722973288
267,ust-nera,64.5667,143.2,10.36,89,100,2.06,RU,1722973288
268,richards bay,-28.783,32.0377,18.73,70,0,4.74,ZA,1722973288
269,uturoa,-16.7333,-151.4333,25.71,86,17,7.6,PF,1722973289
270,saynshand,44.8824,110.1163,21.73,52,5,3.3,MN,1722973289
271,chonchi,-42.6128,-73.8092,10.62,82,98,1.23,CL,1722973289
272,kyabe,9.4515,18.9449,23.25,92,91,2.03,TD,1722973290
273,nagqu,31.5,92.0,4.51,79,76,1.42,CN,1722973290
274,klyuchi,52.2667,79.1667,18.5,81,83,2.61,RU,1722973290
275,elverum,60.8819,11.5623,16.0,76,100,1.92,NO,1722973291
276,ilha de mocambique,-15.0342,40.7358,24.56,74,0,6.38,MZ,1722973291
277,badger,64.8,-147.5333,25.56,42,75,3.09,US,1722973291
278,port macquarie,-31.4333,152.9167,8.37,93,61,1.34,AU,1722973291
279,mersa matruh,31.3525,27.2453,28.11,74,0,2.57,EG,1722973291
280,jamaame,0.0697,42.745,24.62,86,20,6.37,SO,1722973291
281,safotu,-13.4513,-172.4018,26.82,83,54,6.57,WS,1722973291
282,kristiansund,63.1115,7.732,20.36,87,75,4.63,NO,1722973291
283,international falls,48.6011,-93.411,25.64,42,0,2.06,US,1722973199
284,puerto ayora,-0.7393,-90.3518,24.98,96,70,3.58,EC,1722973291
285,agat village,13.3886,144.6585,27.52,85,0,0.0,GU,1722973291
286,jiujiang,29.7333,115.9833,27.08,85,10,1.48,CN,1722973291
287,port alfred,-33.5906,26.891,14.64,76,0,2.94,ZA,1722973291
288,nazyvayevsk,55.5698,71.3529,15.29,96,2,3.06,RU,1722973291
289,yelizovo,53.1873,158.3805,12.08,100,100,1.0,RU,1722973291
